feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,DummyMostFrequent,0,spatial_grid_stratified_group,0.3665223665223665,0.07692307692307693,0.028194028194028196,0.07692307692307693,0.0412639103241004,0.19661389883142788,0.0,0.0
A0_S2_static,DummyMostFrequent,1,spatial_grid_stratified_group,0.3670520231213873,0.07692307692307693,0.028234771009337484,0.07692307692307693,0.0413075296796227,0.19710616040767942,0.0,0.0
A0_S2_static,DummyMostFrequent,2,spatial_grid_stratified_group,0.36520488856937455,0.07692307692307693,0.028092683736105736,0.07692307692307693,0.04115526390407907,0.1953913463857212,0.0,0.0
A0_S2_static,DummyMostFrequent,3,spatial_grid_stratified_group,0.3647482014388489,0.07692307692307693,0.02805755395683453,0.07692307692307693,0.04111755403268318,0.19496820045281646,0.0,0.0
A0_S2_static,DummyMostFrequent,OOF,spatial_grid_stratified_group,0.36588002161772654,0.07692307692307693,0.028144617047517424,0.07692307692307693,0.04121096524156403,0.19601749509512073,0.0,0.0
A0_S2_static,LogisticRegression,0,spatial_grid_stratified_group,0.3917748917748918,0.34068517103632817,0.26971078677612803,0.34068517103632817,0.24137411566400116,0.47223366099387004,0.30284893264222734,0.3227229706506935
A0_S2_static,LogisticRegression,1,spatial_grid_stratified_group,0.36054913294797686,0.3443269980480871,0.2777843270995233,0.3443269980480871,0.21999710557282376,0.44430103315397473,0.2740032540757448,0.29504929688952575
A0_S2_static,LogisticRegression,2,spatial_grid_stratified_group,0.3177570093457944,0.3769190931177844,0.26328661996250496,0.3769190931177844,0.22120030510508065,0.3849914464226538,0.23630280628818667,0.25789473957852355
A0_S2_static,LogisticRegression,3,spatial_grid_stratified_group,0.32661870503597124,0.31794136389174554,0.2639322690092442,0.31794136389174554,0.2125651825026863,0.40322684152960214,0.24136503447572122,0.261407681187457
A0_S2_static,LogisticRegression,OOF,spatial_grid_stratified_group,0.3491262835525131,0.34543328961594527,0.2655790684243269,0.34543328961594527,0.22261087794748036,0.4272655536615664,0.26337668796200187,0.28373440064238464
