,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.16666666666666666,0.25,0.2,48.0
Gram,0.10891089108910891,0.1864406779661017,0.1375,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.08088235294117647,0.10679611650485436,0.09205020920502092,103.0
Maize,0.5397196261682243,0.78839590443686,0.6407766990291263,293.0
Mustard,0.4572025052192067,0.44242424242424244,0.44969199178644764,990.0
No crop/Fallow,0.7590975254730713,0.635588056063376,0.6918739635157546,1641.0
Potato,0.08333333333333333,0.04878048780487805,0.06153846153846154,41.0
Rice,0.13138686131386862,0.13953488372093023,0.13533834586466165,129.0
Sugarcane,0.1935483870967742,0.4785276073619632,0.2756183745583039,163.0
Wheat,0.7174486030574592,0.6701132447070408,0.6929735234215886,2031.0
accuracy,0.5773734462259053,0.5773734462259053,0.5773734462259053,0.5773734462259053
macro avg,0.24909205787376074,0.28820009392232665,0.2597970437630281,5551.0
weighted avg,0.6103866089975577,0.5773734462259053,0.5886936110652955,5551.0
