,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.0821917808219178,0.125,0.09917355371900827,48.0
Gram,0.09090909090909091,0.11864406779661017,0.10294117647058823,59.0
Green pea,0.017241379310344827,0.043478260869565216,0.024691358024691357,23.0
Lentil,0.01639344262295082,0.02912621359223301,0.02097902097902098,103.0
Maize,0.4885057471264368,0.5802047781569966,0.5304212168486739,293.0
Mustard,0.31277533039647576,0.35858585858585856,0.3341176470588235,990.0
No crop/Fallow,0.6105898123324397,0.5551492992078001,0.5815512288541335,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.11627906976744186,0.15503875968992248,0.132890365448505,129.0
Sugarcane,0.1452991452991453,0.2085889570552147,0.1712846347607053,163.0
Wheat,0.6353224834237492,0.5189561792220581,0.5712737127371273,2031.0
accuracy,0.4613583138173302,0.4613583138173302,0.4613583138173302,0.4613583138173302
macro avg,0.19350056015461486,0.20713633647509683,0.19764030114625208,5551.0
weighted avg,0.5035444578837823,0.4613583138173302,0.47908434826845103,5551.0
