,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6666666666666666,0.041666666666666664,0.0784313725490196,48.0
Gram,1.0,0.03389830508474576,0.06557377049180328,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.631578947368421,0.6962457337883959,0.6623376623376623,293.0
Mustard,0.5476190476190477,0.3484848484848485,0.42592592592592593,990.0
No crop/Fallow,0.6984491671453188,0.741011578305911,0.7191011235955056,1641.0
Potato,1.0,0.024390243902439025,0.047619047619047616,41.0
Rice,0.36363636363636365,0.031007751937984496,0.05714285714285714,129.0
Sugarcane,0.2631578947368421,0.06134969325153374,0.09950248756218906,163.0
Wheat,0.6197786504819707,0.8547513540128016,0.7185430463576159,2031.0
accuracy,0.6341199783822735,0.6341199783822735,0.6341199783822735,0.6341199783822735
macro avg,0.4454528259734331,0.217908167341179,0.2210905610447405,5551.0
weighted avg,0.6042019165713117,0.6341199783822735,0.5923822277142785,5551.0
