,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.062111801242236024,0.4166666666666667,0.10810810810810811,48.0
Gram,0.07303370786516854,0.4406779661016949,0.12530120481927712,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.048327137546468404,0.3786407766990291,0.08571428571428572,103.0
Maize,0.3568215892053973,0.8122866894197952,0.49583333333333335,293.0
Mustard,0.4041916167664671,0.13636363636363635,0.2039274924471299,990.0
No crop/Fallow,0.7420249653259362,0.32602071907373553,0.45300592718035565,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.09649122807017543,0.08527131782945736,0.09053497942386832,129.0
Sugarcane,0.12091898428053205,0.6134969325153374,0.20202020202020202,163.0
Wheat,0.6022364217252396,0.37124569177744954,0.45933597319524827,2031.0
accuracy,0.33471446586200687,0.33471446586200687,0.33471446586200687,0.33471446586200687
macro avg,0.19278134246366313,0.2754361843420617,0.1710601158647545,5551.0
weighted avg,0.5386288560817051,0.33471446586200687,0.3764151160563697,5551.0
