,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.0,0.0,0.0,48.0
Gram,0.1,0.01694915254237288,0.028985507246376812,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.08333333333333333,0.009708737864077669,0.017391304347826087,103.0
Maize,0.6336633663366337,0.6552901023890785,0.6442953020134228,293.0
Mustard,0.5652173913043478,0.35454545454545455,0.43575418994413406,990.0
No crop/Fallow,0.6767388825541619,0.7233394271785497,0.6992636229749631,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.2727272727272727,0.023255813953488372,0.04285714285714286,129.0
Sugarcane,0.21951219512195122,0.05521472392638037,0.08823529411764706,163.0
Wheat,0.6169825072886297,0.8335795174790743,0.709109947643979,2031.0
accuracy,0.6191677175283733,0.6191677175283733,0.6191677175283733,0.6191677175283733
macro avg,0.24370576528202545,0.20552945614449816,0.20506863931888397,5551.0
weighted avg,0.5754448210453169,0.6191677175283733,0.5821079902984276,5551.0
