,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.22727272727272727,0.10416666666666667,0.14285714285714285,48.0
Gram,0.12,0.05084745762711865,0.07142857142857142,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6189024390243902,0.6928327645051194,0.6537842190016103,293.0
Mustard,0.45090180360721444,0.45454545454545453,0.45271629778672035,990.0
No crop/Fallow,0.7003039513677811,0.7020109689213894,0.7011564211807669,1641.0
Potato,0.16666666666666666,0.024390243902439025,0.0425531914893617,41.0
Rice,0.2,0.07751937984496124,0.11173184357541899,129.0
Sugarcane,0.2558139534883721,0.20245398773006135,0.22602739726027396,163.0
Wheat,0.6597492434068309,0.7513540128015755,0.7025782688766115,2031.0
accuracy,0.6094397405872816,0.6094397405872816,0.6094397405872816,0.6094397405872816
macro avg,0.2615085219103063,0.23539391819575275,0.2388333348812675,5551.0
weighted avg,0.5781302101279264,0.6094397405872816,0.5911284534713579,5551.0
