,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5,0.041666666666666664,0.07692307692307693,48.0
Gram,0.25,0.03389830508474576,0.05970149253731343,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6153846153846154,0.6825938566552902,0.6472491909385113,293.0
Mustard,0.48481012658227846,0.38686868686868686,0.4303370786516854,990.0
No crop/Fallow,0.6929928741092637,0.7111517367458866,0.7019548872180451,1641.0
Potato,0.25,0.024390243902439025,0.044444444444444446,41.0
Rice,0.2857142857142857,0.046511627906976744,0.08,129.0
Sugarcane,0.2558139534883721,0.13496932515337423,0.17670682730923695,163.0
Wheat,0.6243325705568269,0.8060068931560808,0.703632065334193,2031.0
accuracy,0.6161052062691407,0.6161052062691407,0.6161052062691407,0.6161052062691407
macro avg,0.30454218660274174,0.22061979554924205,0.22468838948896203,5551.0
weighted avg,0.5752198328434719,0.6161052062691407,0.5845473871832728,5551.0
