,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.42857142857142855,0.0625,0.10909090909090909,48.0
Gram,0.2,0.05084745762711865,0.08108108108108109,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6291390728476821,0.6484641638225256,0.6386554621848739,293.0
Mustard,0.46706586826347307,0.4727272727272727,0.46987951807228917,990.0
No crop/Fallow,0.6948748510131109,0.7105423522242535,0.7026212714673095,1641.0
Potato,0.2,0.024390243902439025,0.043478260869565216,41.0
Rice,0.3055555555555556,0.08527131782945736,0.13333333333333333,129.0
Sugarcane,0.2692307692307692,0.12883435582822086,0.17427385892116182,163.0
Wheat,0.6516342573438146,0.7754800590841949,0.70818345323741,2031.0
accuracy,0.6193478652495046,0.6193478652495046,0.6193478652495046,0.6193478652495046
macro avg,0.2958516771404488,0.2276197863881141,0.23543054986599488,5551.0
weighted avg,0.5826633896101103,0.6193478652495046,0.5946745214258183,5551.0
