,precision,recall,f1-score,support
Bersem,0.011494252873563218,0.0625,0.019417475728155338,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.13414634146341464,0.4583333333333333,0.20754716981132076,48.0
Gram,0.0706713780918728,0.3389830508474576,0.11695906432748537,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0847457627118644,0.04854368932038835,0.06172839506172839,103.0
Maize,0.5488372093023256,0.8054607508532423,0.65283540802213,293.0
Mustard,0.5473441108545035,0.23939393939393938,0.33309908643710473,990.0
No crop/Fallow,0.7505126452494874,0.6691042047531993,0.7074742268041238,1641.0
Potato,0.03431372549019608,0.17073170731707318,0.05714285714285714,41.0
Rice,0.13725490196078433,0.10852713178294573,0.12121212121212122,129.0
Sugarcane,0.1736842105263158,0.4049079754601227,0.2430939226519337,163.0
Wheat,0.7397260273972602,0.638109305760709,0.6851704996034893,2031.0
accuracy,0.5408034588362457,0.5408034588362457,0.5408034588362457,0.5408034588362457
macro avg,0.24867158199396827,0.3034303914478778,0.24659078667711146,5551.0
weighted avg,0.6311654500606334,0.5408034588362457,0.5683175003466459,5551.0
