,precision,recall,f1-score,support
Bersem,0.01195219123505976,0.1875,0.02247191011235955,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.15555555555555556,0.5833333333333334,0.24561403508771928,48.0
Gram,0.07095343680709534,0.5423728813559322,0.12549019607843137,59.0
Green pea,0.0029940119760479044,0.043478260869565216,0.0056022408963585435,23.0
Lentil,0.058695652173913045,0.2621359223300971,0.09591474245115453,103.0
Maize,0.5758426966292135,0.6996587030716723,0.6317411402157165,293.0
Mustard,0.5587044534412956,0.1393939393939394,0.2231204527081649,990.0
No crop/Fallow,0.8278443113772455,0.33698964046313223,0.47899523603291466,1641.0
Potato,0.03676470588235294,0.24390243902439024,0.06389776357827476,41.0
Rice,0.09950248756218906,0.46511627906976744,0.16393442622950818,129.0
Sugarcane,0.2063157894736842,0.6012269938650306,0.3072100313479624,163.0
Wheat,0.8474025974025974,0.38552437223042835,0.5299492385786801,2031.0
accuracy,0.3491262835525131,0.3491262835525131,0.3491262835525131,0.3491262835525131
macro avg,0.2655790684243269,0.34543328961594527,0.22261087794748036,5551.0
weighted avg,0.6966920961596641,0.3491262835525131,0.4272655536615664,5551.0
