,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,1.0,0.020833333333333332,0.04081632653061224,48.0
Gram,0.0,0.0,0.0,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6595092024539877,0.7337883959044369,0.6946688206785138,293.0
Mustard,0.5096262740656852,0.45454545454545453,0.4805125467164976,990.0
No crop/Fallow,0.7119244391971665,0.7349177330895795,0.7232383808095952,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,1.0,0.015503875968992248,0.030534351145038167,129.0
Sugarcane,0.3,0.147239263803681,0.19753086419753085,163.0
Wheat,0.6501366653650917,0.8197932053175776,0.7251742160278746,2031.0
accuracy,0.6418663303909206,0.6418663303909206,0.6418663303909206,0.6418663303909206
macro avg,0.3716305062370716,0.22512471245869653,0.22249811585428173,5551.0
weighted avg,0.6147291982927577,0.6418663303909206,0.6083595833551924,5551.0
