,precision,recall,f1-score,support
Bersem,0.006097560975609756,0.0625,0.011111111111111112,16.0
Coriander,0.00625,0.07142857142857142,0.011494252873563218,14.0
Garlic,0.11695906432748537,0.4166666666666667,0.182648401826484,48.0
Gram,0.09696969696969697,0.5423728813559322,0.16452442159383032,59.0
Green pea,0.004132231404958678,0.043478260869565216,0.007547169811320755,23.0
Lentil,0.05972434915773354,0.3786407766990291,0.10317460317460317,103.0
Maize,0.5412371134020618,0.7167235494880546,0.6167400881057269,293.0
Mustard,0.6324786324786325,0.22424242424242424,0.33109619686800895,990.0
No crop/Fallow,0.8206388206388207,0.40706886045094454,0.5441955193482688,1641.0
Potato,0.041666666666666664,0.17073170731707318,0.06698564593301436,41.0
Rice,0.10612244897959183,0.40310077519379844,0.1680129240710824,129.0
Sugarcane,0.18397085610200364,0.6196319018404908,0.28370786516853935,163.0
Wheat,0.8188608776844071,0.43180699162973907,0.5654416505480335,2031.0
accuracy,0.40190956584399207,0.40190956584399207,0.40190956584399207,0.40190956584399207
macro avg,0.26423910144520524,0.3452610282447915,0.23512921926412206,5551.0
weighted avg,0.6949492711029391,0.40190956584399207,0.47742833929942824,5551.0
