,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.15,0.0625,0.08823529411764706,48.0
Gram,0.03125,0.05084745762711865,0.03870967741935484,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,1.0,0.009708737864077669,0.019230769230769232,103.0
Maize,0.6242937853107344,0.7542662116040956,0.6831530139103554,293.0
Mustard,0.49261744966442955,0.3707070707070707,0.42305475504322765,990.0
No crop/Fallow,0.6724817107484524,0.7282145033516149,0.6992393212404915,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.21875,0.05426356589147287,0.08695652173913043,129.0
Sugarcane,0.08333333333333333,0.006134969325153374,0.011428571428571429,163.0
Wheat,0.6445063694267515,0.7971442639094042,0.7127448822364076,2031.0
accuracy,0.6155647631057467,0.6155647631057467,0.6155647631057467,0.6155647631057467
macro avg,0.3013255883449001,0.21798359848307752,0.212519446643535,5551.0
weighted avg,0.5831363918647282,0.6155647631057467,0.5828868321581127,5551.0
