,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.2222222222222222,0.041666666666666664,0.07017543859649122,48.0
Gram,0.08333333333333333,0.01694915254237288,0.028169014084507043,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6445182724252492,0.6621160409556314,0.6531986531986532,293.0
Mustard,0.5058411214953271,0.43737373737373736,0.46912242686890576,990.0
No crop/Fallow,0.7010550996483002,0.728823887873248,0.714669853600239,1641.0
Potato,0.25,0.024390243902439025,0.044444444444444446,41.0
Rice,0.4,0.046511627906976744,0.08333333333333333,129.0
Sugarcane,0.25,0.10429447852760736,0.1471861471861472,163.0
Wheat,0.64,0.811422944362383,0.7155883630047764,2031.0
accuracy,0.6301567285173842,0.6301567285173842,0.6301567285173842,0.6301567285173842
macro avg,0.28438231147111015,0.2210422138546971,0.22506828263980752,5551.0
weighted avg,0.5869359243302406,0.6301567285173842,0.5987291587291114,5551.0
