,precision,recall,f1-score,support
Bersem,0.18181818181818182,0.125,0.14814814814814814,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.45,0.5625,0.5,48.0
Gram,0.625,0.6779661016949152,0.6504065040650406,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.11764705882352941,0.1941747572815534,0.14652014652014653,103.0
Maize,0.6693548387096774,0.8498293515358362,0.7488721804511278,293.0
Mustard,0.5879494655004859,0.6111111111111112,0.5993065874195146,990.0
No crop/Fallow,0.8210976478973628,0.7020109689213894,0.7568988173455979,1641.0
Potato,0.09090909090909091,0.024390243902439025,0.038461538461538464,41.0
Rice,0.24719101123595505,0.17054263565891473,0.2018348623853211,129.0
Sugarcane,0.3425076452599388,0.6871165644171779,0.45714285714285713,163.0
Wheat,0.8082463984103329,0.8010832102412605,0.804648862512364,2031.0
accuracy,0.694829760403531,0.694829760403531,0.694829760403531,0.694829760403531
macro avg,0.3801324106588119,0.41582499575112286,0.38863388495781975,5551.0
weighted avg,0.7083599371789535,0.694829760403531,0.6973535767762449,5551.0
