,precision,recall,f1-score,support
Bersem,0.04,0.0625,0.04878048780487805,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.42857142857142855,0.3125,0.3614457831325301,48.0
Gram,0.6285714285714286,0.3728813559322034,0.46808510638297873,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6943521594684385,0.7133105802047781,0.7037037037037037,293.0
Mustard,0.6134636264929425,0.5707070707070707,0.5913134484563056,990.0
No crop/Fallow,0.7428057553956835,0.7550274223034735,0.7488667271078876,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.3,0.046511627906976744,0.08053691275167785,129.0
Sugarcane,0.44029850746268656,0.3619631901840491,0.39730639730639733,163.0
Wheat,0.7371549893842887,0.8547513540128016,0.791609667122663,2031.0
accuracy,0.6939290217978743,0.6939290217978743,0.6939290217978743,0.6939290217978743
macro avg,0.35578599194976124,0.31155020009625795,0.322434479520694,5551.0
weighted avg,0.6657622051107247,0.6939290217978743,0.6753976118617987,5551.0
