,precision,recall,f1-score,support
Bersem,0.2,0.0625,0.09523809523809523,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5806451612903226,0.375,0.45569620253164556,48.0
Gram,0.6842105263157895,0.6610169491525424,0.6724137931034483,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.024390243902439025,0.009708737864077669,0.013888888888888888,103.0
Maize,0.7190332326283988,0.8122866894197952,0.7628205128205128,293.0
Mustard,0.5982905982905983,0.6363636363636364,0.6167400881057269,990.0
No crop/Fallow,0.781864299302473,0.7513711151736746,0.7663144810441268,1641.0
Potato,0.125,0.024390243902439025,0.04081632653061224,41.0
Rice,0.3148148148148148,0.13178294573643412,0.18579234972677597,129.0
Sugarcane,0.4,0.4171779141104294,0.4084084084084084,163.0
Wheat,0.7718665464382326,0.8429345150172329,0.805836667451165,2031.0
accuracy,0.713024680237795,0.713024680237795,0.713024680237795,0.713024680237795
macro avg,0.4000088786910053,0.3634255959030971,0.3710742933730312,5551.0
weighted avg,0.6915100694409748,0.713024680237795,0.699867930487277,5551.0
