,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.4807692307692308,0.5208333333333334,0.5,48.0
Gram,0.8333333333333334,0.423728813559322,0.5617977528089888,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.04,0.009708737864077669,0.015625,103.0
Maize,0.6465753424657534,0.8054607508532423,0.7173252279635258,293.0
Mustard,0.5892648774795799,0.51010101010101,0.5468327016783974,990.0
No crop/Fallow,0.7578328981723238,0.7074954296160878,0.7317995587771825,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.0625,0.03875968992248062,0.04784688995215311,129.0
Sugarcane,0.32515337423312884,0.32515337423312884,0.32515337423312884,163.0
Wheat,0.7096114519427403,0.8542589857213195,0.7752457551385166,2031.0
accuracy,0.6748333633579535,0.6748333633579535,0.6748333633579535,0.6748333633579535
macro avg,0.3419261929535454,0.3227307788618463,0.3247404815809149,5551.0
weighted avg,0.647643584685161,0.6748333633579535,0.6566160263581639,5551.0
