,precision,recall,f1-score,support
Bersem,0.3333333333333333,0.0625,0.10526315789473684,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5862068965517241,0.3541666666666667,0.44155844155844154,48.0
Gram,0.6545454545454545,0.6101694915254238,0.631578947368421,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.02702702702702703,0.009708737864077669,0.014285714285714285,103.0
Maize,0.72782874617737,0.8122866894197952,0.7677419354838709,293.0
Mustard,0.6021505376344086,0.6222222222222222,0.6120218579234973,990.0
No crop/Fallow,0.7852564102564102,0.7464960390006093,0.7653858169322086,1641.0
Potato,0.16666666666666666,0.024390243902439025,0.0425531914893617,41.0
Rice,0.26,0.10077519379844961,0.1452513966480447,129.0
Sugarcane,0.39490445859872614,0.3803680981595092,0.3875,163.0
Wheat,0.7559704732957012,0.8572131954702117,0.8034148592524227,2031.0
accuracy,0.7117636461898756,0.7117636461898756,0.7117636461898756,0.7117636461898756
macro avg,0.4072223080066786,0.3523305060022619,0.36281194760282465,5551.0
weighted avg,0.686899773993349,0.7117636461898756,0.6960623210906881,5551.0
