,precision,recall,f1-score,support
Bersem,0.1,0.1875,0.13043478260869565,16.0
Coriander,0.06666666666666667,0.14285714285714285,0.09090909090909091,14.0
Garlic,0.1956521739130435,0.375,0.2571428571428571,48.0
Gram,0.40217391304347827,0.6271186440677966,0.4900662251655629,59.0
Green pea,0.013157894736842105,0.043478260869565216,0.020202020202020204,23.0
Lentil,0.0777027027027027,0.22330097087378642,0.11528822055137844,103.0
Maize,0.5884057971014492,0.6928327645051194,0.6363636363636364,293.0
Mustard,0.6039719626168224,0.5222222222222223,0.5601300108342362,990.0
No crop/Fallow,0.800476947535771,0.6136502132845826,0.6947223180407037,1641.0
Potato,0.0821917808219178,0.14634146341463414,0.10526315789473684,41.0
Rice,0.12315270935960591,0.1937984496124031,0.15060240963855423,129.0
Sugarcane,0.3057553956834532,0.5214723926380368,0.3854875283446712,163.0
Wheat,0.8048907388137357,0.7616937469226982,0.7826966860612193,2031.0
accuracy,0.6258331832102324,0.6258331832102324,0.6258331832102324,0.6258331832102324
macro avg,0.3203229756150376,0.38855894394369134,0.33994684182748947,5551.0
weighted avg,0.6902728343548581,0.6258331832102324,0.651092289374228,5551.0
