,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5405405405405406,0.4166666666666667,0.47058823529411764,48.0
Gram,0.8285714285714286,0.4915254237288136,0.6170212765957447,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.058823529411764705,0.009708737864077669,0.016666666666666666,103.0
Maize,0.6707692307692308,0.7440273037542662,0.7055016181229773,293.0
Mustard,0.605927552140505,0.5575757575757576,0.5807469752761705,990.0
No crop/Fallow,0.7460606060606061,0.7501523461304083,0.7481008811911273,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.08823529411764706,0.046511627906976744,0.06091370558375635,129.0
Sugarcane,0.40963855421686746,0.4171779141104294,0.4133738601823708,163.0
Wheat,0.7453842851009017,0.8547513540128016,0.7963302752293578,2031.0
accuracy,0.6955503512880562,0.6955503512880562,0.6955503512880562,0.6955503512880562
macro avg,0.3610731554561148,0.329853625519246,0.3391725764724838,5551.0
weighted avg,0.6653951576039395,0.6955503512880562,0.6778199926443653,5551.0
