,precision,recall,f1-score,support
Bersem,0.10526315789473684,0.125,0.11428571428571428,16.0
Coriander,0.07692307692307693,0.14285714285714285,0.1,14.0
Garlic,0.23711340206185566,0.4791666666666667,0.31724137931034485,48.0
Gram,0.4430379746835443,0.5932203389830508,0.5072463768115942,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.08521739130434783,0.47572815533980584,0.14454277286135694,103.0
Maize,0.5924170616113744,0.8532423208191127,0.6993006993006993,293.0
Mustard,0.6178343949044586,0.4898989898989899,0.5464788732394367,990.0
No crop/Fallow,0.8482142857142857,0.578915295551493,0.6881564650488954,1641.0
Potato,0.09433962264150944,0.12195121951219512,0.10638297872340426,41.0
Rice,0.1078838174273859,0.20155038759689922,0.14054054054054055,129.0
Sugarcane,0.2793017456359102,0.6871165644171779,0.3971631205673759,163.0
Wheat,0.8471023427866831,0.6765140324963073,0.7522584177388448,2031.0
accuracy,0.5968294001080886,0.5968294001080886,0.5968294001080886,0.5968294001080886
macro avg,0.3334344825837822,0.41732008570298784,0.34719979526370826,5551.0
weighted avg,0.722390394756335,0.5968294001080886,0.6401569834186492,5551.0
