,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.2631578947368421,0.20833333333333334,0.23255813953488372,48.0
Gram,0.36764705882352944,0.423728813559322,0.3937007874015748,59.0
Green pea,0.023255813953488372,0.043478260869565216,0.030303030303030304,23.0
Lentil,0.06293706293706294,0.08737864077669903,0.07317073170731707,103.0
Maize,0.5196078431372549,0.5426621160409556,0.5308848080133556,293.0
Mustard,0.4192139737991266,0.48484848484848486,0.4496487119437939,990.0
No crop/Fallow,0.6611675126903553,0.6349786715417428,0.6478085172520982,1641.0
Potato,0.03333333333333333,0.04878048780487805,0.039603960396039604,41.0
Rice,0.11585365853658537,0.14728682170542637,0.1296928327645051,129.0
Sugarcane,0.2057142857142857,0.22085889570552147,0.21301775147928995,163.0
Wheat,0.679372197309417,0.5967503692762186,0.6353866317169069,2031.0
accuracy,0.5395424247883265,0.5395424247883265,0.5395424247883265,0.5395424247883265
macro avg,0.25778927961317544,0.26454499195862674,0.2596750694240612,5551.0
weighted avg,0.5626429700903205,0.5395424247883265,0.5494372586761257,5551.0
