,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6666666666666666,0.041666666666666664,0.0784313725490196,48.0
Gram,0.6,0.1016949152542373,0.17391304347826086,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.5952941176470589,0.863481228668942,0.7047353760445683,293.0
Mustard,0.7266553480475382,0.43232323232323233,0.5421152628245726,990.0
No crop/Fallow,0.8540419161676647,0.6953077391834247,0.7665435001679544,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,1.0,0.007751937984496124,0.015384615384615385,129.0
Sugarcane,0.5454545454545454,0.11042944785276074,0.1836734693877551,163.0
Wheat,0.6106531388712746,0.948301329394387,0.7429122468659595,2031.0
accuracy,0.680057647270762,0.680057647270762,0.680057647270762,0.680057647270762
macro avg,0.4306742871426729,0.2462274228713959,0.24674683743866963,5551.0
weighted avg,0.6883153254234261,0.680057647270762,0.640584254887435,5551.0
