,precision,recall,f1-score,support
Bersem,0.0030303030303030303,0.1875,0.005964214711729622,16.0
Coriander,0.0029985007496251873,0.14285714285714285,0.005873715124816446,14.0
Garlic,0.06451612903225806,0.041666666666666664,0.05063291139240506,48.0
Gram,0.11224489795918367,0.3728813559322034,0.17254901960784313,59.0
Green pea,0.03125,0.043478260869565216,0.03636363636363636,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.5945945945945946,0.22525597269624573,0.32673267326732675,293.0
Mustard,0.0,0.0,0.0,990.0
No crop/Fallow,0.0,0.0,0.0,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.07092198581560284,0.9302325581395349,0.13179571663920922,129.0
Sugarcane,0.06826870562534135,0.7668711656441718,0.12537612838515547,163.0
Wheat,0.0,0.0,0.0,2031.0
accuracy,0.061430372905782744,0.061430372905782744,0.061430372905782744,0.061430372905782744
macro avg,0.07290962436976221,0.2085187017542716,0.06579138580708631,5551.0
weighted avg,0.03693413590983237,0.061430372905782744,0.0264448612191969,5551.0
