,precision,recall,f1-score,support
Bersem,0.05263157894736842,0.125,0.07407407407407407,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.18487394957983194,0.4583333333333333,0.2634730538922156,48.0
Gram,0.1945945945945946,0.6101694915254238,0.29508196721311475,59.0
Green pea,0.005780346820809248,0.043478260869565216,0.01020408163265306,23.0
Lentil,0.06614785992217899,0.3300970873786408,0.11021069692058347,103.0
Maize,0.5447761194029851,0.7474402730375427,0.6302158273381295,293.0
Mustard,0.6022099447513812,0.4404040404040404,0.5087514585764294,990.0
No crop/Fallow,0.8022222222222222,0.4399756246191347,0.568280204643841,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.11333333333333333,0.3953488372093023,0.17616580310880828,129.0
Sugarcane,0.20512820512820512,0.588957055214724,0.30427892234548337,163.0
Wheat,0.8120854826823877,0.5425898572131955,0.6505312868949232,2031.0
accuracy,0.4901819491983426,0.4901819491983426,0.4901819491983426,0.4901819491983426
macro avg,0.2756756644142537,0.3632149123696079,0.27625133666463514,5551.0
weighted avg,0.6841647885412303,0.4901819491983426,0.5507557228150199,5551.0
