,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6666666666666666,0.08333333333333333,0.14814814814814814,48.0
Gram,0.6666666666666666,0.1016949152542373,0.17647058823529413,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.627906976744186,0.8293515358361775,0.7147058823529412,293.0
Mustard,0.7371134020618557,0.43333333333333335,0.5458015267175572,990.0
No crop/Fallow,0.85331347728965,0.6983546617915904,0.7680965147453083,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.0,0.0,0.0,129.0
Sugarcane,0.5263157894736842,0.18404907975460122,0.2727272727272727,163.0
Wheat,0.6053047047679192,0.9438700147710487,0.7375913813005002,2031.0
accuracy,0.680057647270762,0.680057647270762,0.680057647270762,0.680057647270762
macro avg,0.3602528987438945,0.2518451441595632,0.2587339472482324,5551.0
weighted avg,0.6666371988580052,0.680057647270762,0.6431677593892451,5551.0
