,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.23148148148148148,0.5208333333333334,0.32051282051282054,48.0
Gram,0.19161676646706588,0.5423728813559322,0.2831858407079646,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.13186813186813187,0.11650485436893204,0.12371134020618557,103.0
Maize,0.6043689320388349,0.8498293515358362,0.7063829787234043,293.0
Mustard,0.6251638269986893,0.4818181818181818,0.5442099258414147,990.0
No crop/Fallow,0.8483412322274881,0.6544789762340036,0.7389060887512899,1641.0
Potato,0.04878048780487805,0.04878048780487805,0.04878048780487805,41.0
Rice,0.10526315789473684,0.07751937984496124,0.08928571428571429,129.0
Sugarcane,0.24858757062146894,0.5398773006134969,0.3404255319148936,163.0
Wheat,0.7235401459854015,0.7808961102904973,0.751124792801326,2031.0
accuracy,0.6404251486218699,0.6404251486218699,0.6404251486218699,0.6404251486218699
macro avg,0.2891547487221674,0.35483929670769637,0.30357888627306856,5551.0
weighted avg,0.6755049403157172,0.6404251486218699,0.6481101516919339,5551.0
