,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5714285714285714,0.16666666666666666,0.25806451612903225,48.0
Gram,0.6206896551724138,0.3050847457627119,0.4090909090909091,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6563380281690141,0.7952218430034129,0.7191358024691358,293.0
Mustard,0.6286919831223629,0.602020202020202,0.6150670794633643,990.0
No crop/Fallow,0.7963800904977375,0.7507617306520414,0.7728983688833124,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.6666666666666666,0.015503875968992248,0.030303030303030304,129.0
Sugarcane,0.48598130841121495,0.31901840490797545,0.3851851851851852,163.0
Wheat,0.7026708562450903,0.880846873461349,0.7817347607603233,2031.0
accuracy,0.7079805440461178,0.7079805440461178,0.7079805440461178,0.7079805440461178
macro avg,0.3945267045933132,0.29500956480333473,0.30549843479109945,5551.0
weighted avg,0.6805909849468561,0.7079805440461178,0.6807549014121336,5551.0
