,precision,recall,f1-score,support
Bersem,0.4,0.125,0.19047619047619047,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.39344262295081966,0.5,0.44036697247706424,48.0
Gram,0.5616438356164384,0.6949152542372882,0.6212121212121212,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.11475409836065574,0.13592233009708737,0.12444444444444444,103.0
Maize,0.660427807486631,0.8430034129692833,0.7406296851574213,293.0
Mustard,0.6053357865685373,0.6646464646464646,0.6336061627347135,990.0
No crop/Fallow,0.8367052023121387,0.7056672760511883,0.7656198347107438,1641.0
Potato,0.14285714285714285,0.024390243902439025,0.041666666666666664,41.0
Rice,0.27848101265822783,0.17054263565891473,0.21153846153846154,129.0
Sugarcane,0.3619047619047619,0.6993865030674846,0.4769874476987448,163.0
Wheat,0.8140900195694716,0.8193008370260956,0.8166871165644172,2031.0
accuracy,0.7106827598630877,0.7106827598630877,0.7106827598630877,0.7106827598630877
macro avg,0.39766479156037116,0.4140596121274035,0.38947962336007613,5551.0
weighted avg,0.7188346995227776,0.7106827598630877,0.7097367243494243,5551.0
