,precision,recall,f1-score,support
Bersem,0.06896551724137931,0.125,0.08888888888888889,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.203125,0.2708333333333333,0.23214285714285715,48.0
Gram,0.3939393939393939,0.4406779661016949,0.416,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.037037037037037035,0.04854368932038835,0.04201680672268908,103.0
Maize,0.6033333333333334,0.6177474402730375,0.6104553119730185,293.0
Mustard,0.4261414503133393,0.4808080808080808,0.45182724252491696,990.0
No crop/Fallow,0.6735218508997429,0.6386349786715417,0.6556146387238035,1641.0
Potato,0.046511627906976744,0.04878048780487805,0.047619047619047616,41.0
Rice,0.14705882352941177,0.23255813953488372,0.18018018018018017,129.0
Sugarcane,0.2393617021276596,0.27607361963190186,0.2564102564102564,163.0
Wheat,0.7247910863509749,0.6405711472181191,0.680083638264506,2031.0
accuracy,0.5636822194199244,0.5636822194199244,0.5636822194199244,0.5636822194199244
macro avg,0.2741374478984038,0.29386376020752764,0.2816337591115511,5551.0
weighted avg,0.589760577543068,0.5636822194199244,0.574979854876013,5551.0
