,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.0,0.0,0.0,48.0
Gram,0.0,0.0,0.0,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.0,0.0,0.0,293.0
Mustard,0.0,0.0,0.0,990.0
No crop/Fallow,0.0,0.0,0.0,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.0,0.0,0.0,129.0
Sugarcane,0.0,0.0,0.0,163.0
Wheat,0.36588002161772654,1.0,0.5357425481403324,2031.0
accuracy,0.36588002161772654,0.36588002161772654,0.36588002161772654,0.36588002161772654
macro avg,0.028144617047517424,0.07692307692307693,0.04121096524156403,5551.0
weighted avg,0.13386819021898805,0.36588002161772654,0.19601749509512073,5551.0
