,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.7142857142857143,0.4166666666666667,0.5263157894736842,48.0
Gram,0.8928571428571429,0.423728813559322,0.5747126436781609,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6798866855524079,0.8191126279863481,0.7430340557275542,293.0
Mustard,0.6345238095238095,0.5383838383838384,0.5825136612021858,990.0
No crop/Fallow,0.8093023255813954,0.7422303473491774,0.7743165924984107,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.25,0.023255813953488372,0.0425531914893617,129.0
Sugarcane,0.49635036496350365,0.4171779141104294,0.4533333333333333,163.0
Wheat,0.6979560938682816,0.9079271294928607,0.7892146372779799,2031.0
accuracy,0.7117636461898756,0.7117636461898756,0.7117636461898756,0.7117636461898756
macro avg,0.3980893951255581,0.3298833193463177,0.3450764542062054,5551.0
weighted avg,0.6797187368806186,0.7117636461898756,0.6857322749823483,5551.0
