,precision,recall,f1-score,support
Bersem,0.006359300476947536,0.5,0.012558869701726845,16.0
Coriander,0.0034904013961605585,0.2857142857142857,0.006896551724137931,14.0
Garlic,0.18840579710144928,0.2708333333333333,0.2222222222222222,48.0
Gram,0.0724450194049159,0.9491525423728814,0.1346153846153846,59.0
Green pea,0.004219409282700422,0.043478260869565216,0.007692307692307693,23.0
Lentil,0.05263157894736842,0.02912621359223301,0.0375,103.0
Maize,0.4853801169590643,0.2832764505119454,0.3577586206896552,293.0
Mustard,0.0,0.0,0.0,990.0
No crop/Fallow,0.5882352941176471,0.006093845216331505,0.012062726176115802,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.06490384615384616,0.627906976744186,0.11764705882352941,129.0
Sugarcane,0.1650853889943074,0.5337423312883436,0.25217391304347825,163.0
Wheat,0.6,0.0014771048744460858,0.0029469548133595285,2031.0
accuracy,0.06287155467483337,0.06287155467483337,0.06287155467483337,0.06287155467483337
macro avg,0.1716273963718775,0.27160010342442703,0.08954420073091675,5551.0
weighted avg,0.42881975398198546,0.06287155467483337,0.037800429514068354,5551.0
