,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.34615384615384615,0.1875,0.24324324324324326,48.0
Gram,0.7,0.3559322033898305,0.47191011235955055,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.041666666666666664,0.009708737864077669,0.015748031496062992,103.0
Maize,0.6862745098039216,0.7167235494880546,0.7011686143572621,293.0
Mustard,0.6260330578512396,0.6121212121212121,0.6189989785495403,990.0
No crop/Fallow,0.7553912507701787,0.7471054235222425,0.7512254901960784,1641.0
Potato,0.07407407407407407,0.04878048780487805,0.058823529411764705,41.0
Rice,0.2413793103448276,0.05426356589147287,0.08860759493670886,129.0
Sugarcane,0.5,0.4049079754601227,0.44745762711864406,163.0
Wheat,0.761495487752471,0.8724766125061546,0.8132170720513997,2031.0
accuracy,0.7061790668348046,0.7061790668348046,0.7061790668348046,0.7061790668348046
macro avg,0.36403601564747884,0.30842459754215734,0.32387694567078884,5551.0
weighted avg,0.6818460738854223,0.7061790668348046,0.6900692582851595,5551.0
