,precision,recall,f1-score,support
Bersem,0.4,0.125,0.19047619047619047,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6666666666666666,0.4166666666666667,0.5128205128205128,48.0
Gram,0.7169811320754716,0.6440677966101694,0.6785714285714286,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.03125,0.009708737864077669,0.014814814814814815,103.0
Maize,0.6960227272727273,0.8361774744027304,0.7596899224806202,293.0
Mustard,0.625703564727955,0.6737373737373737,0.6488326848249028,990.0
No crop/Fallow,0.7969348659003831,0.7605118829981719,0.7782974742750234,1641.0
Potato,0.2,0.04878048780487805,0.0784313725490196,41.0
Rice,0.2894736842105263,0.08527131782945736,0.1317365269461078,129.0
Sugarcane,0.4556213017751479,0.4723926380368098,0.463855421686747,163.0
Wheat,0.7883408071748879,0.8655834564254062,0.8251584135179535,2031.0
accuracy,0.7330210772833724,0.7330210772833724,0.7330210772833724,0.7330210772833724
macro avg,0.43592267306182814,0.3798382947981339,0.3909757509971785,5551.0
weighted avg,0.709061519857912,0.7330210772833724,0.7175390333748682,5551.0
