,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.44680851063829785,0.4375,0.4421052631578947,48.0
Gram,0.7777777777777778,0.23728813559322035,0.36363636363636365,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6407506702412868,0.8156996587030717,0.7177177177177178,293.0
Mustard,0.6145320197044335,0.5040404040404041,0.5538290788013318,990.0
No crop/Fallow,0.790200138026225,0.6977452772699574,0.7411003236245954,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.037037037037037035,0.015503875968992248,0.02185792349726776,129.0
Sugarcane,0.3302325581395349,0.43558282208588955,0.37566137566137564,163.0
Wheat,0.6983940462201331,0.8778926637124569,0.7779232111692844,2031.0
accuracy,0.6798774995496307,0.6798774995496307,0.6798774995496307,0.6798774995496307
macro avg,0.3335179044449789,0.30932714133646094,0.3072177890204486,5551.0
weighted avg,0.6552377521917242,0.6798774995496307,0.659596077590968,5551.0
