,precision,recall,f1-score,support
Bersem,0.25,0.0625,0.1,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5625,0.375,0.45,48.0
Gram,0.6964285714285714,0.6610169491525424,0.6782608695652174,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.7168141592920354,0.8293515358361775,0.7689873417721519,293.0
Mustard,0.6312260536398467,0.6656565656565656,0.647984267453294,990.0
No crop/Fallow,0.800771208226221,0.7592931139549055,0.7794807632155145,1641.0
Potato,0.18181818181818182,0.04878048780487805,0.07692307692307693,41.0
Rice,0.3142857142857143,0.08527131782945736,0.13414634146341464,129.0
Sugarcane,0.43478260869565216,0.4294478527607362,0.43209876543209874,163.0
Wheat,0.7724890829694323,0.8709995076317085,0.8187919463087249,2031.0
accuracy,0.7310394523509277,0.7310394523509277,0.7310394523509277,0.7310394523509277
macro avg,0.41239350618120424,0.36825517927899776,0.3758979517025764,5551.0
weighted avg,0.7041771708728589,0.7310394523509277,0.7139290768474308,5551.0
