,precision,recall,f1-score,support
Bersem,0.15,0.1875,0.16666666666666666,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.2987012987012987,0.4791666666666667,0.368,48.0
Gram,0.3655913978494624,0.576271186440678,0.4473684210526316,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.07434944237918216,0.1941747572815534,0.10752688172043011,103.0
Maize,0.5211267605633803,0.6313993174061433,0.5709876543209876,293.0
Mustard,0.596629213483146,0.5363636363636364,0.5648936170212766,990.0
No crop/Fallow,0.7801788375558867,0.6380255941499086,0.7019778746228629,1641.0
Potato,0.11320754716981132,0.14634146341463414,0.1276595744680851,41.0
Rice,0.15789473684210525,0.2558139534883721,0.1952662721893491,129.0
Sugarcane,0.26022304832713755,0.4294478527607362,0.32407407407407407,163.0
Wheat,0.8043933054393305,0.75726243229936,0.7801166624397666,2031.0
accuracy,0.6287155467483336,0.6287155467483336,0.6287155467483336,0.6287155467483336
macro avg,0.31709966063928785,0.371674373867053,0.33496443835201,5551.0
weighted avg,0.6792904292397097,0.6287155467483336,0.6492442506402568,5551.0
