,precision,recall,f1-score,support
Bersem,0.07692307692307693,0.125,0.09523809523809523,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.34328358208955223,0.4791666666666667,0.4,48.0
Gram,0.3904761904761905,0.6949152542372882,0.5,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.09177215189873418,0.2815533980582524,0.13842482100238662,103.0
Maize,0.56657223796034,0.6825938566552902,0.6191950464396285,293.0
Mustard,0.5913865546218487,0.5686868686868687,0.5798146240988672,990.0
No crop/Fallow,0.7696969696969697,0.6191346739792809,0.6862546437014522,1641.0
Potato,0.02702702702702703,0.04878048780487805,0.034782608695652174,41.0
Rice,0.17786561264822134,0.3488372093023256,0.2356020942408377,129.0
Sugarcane,0.30357142857142855,0.5214723926380368,0.3837471783295711,163.0
Wheat,0.8354725787631272,0.7050713934022649,0.7647530040053404,2031.0
accuracy,0.6193478652495046,0.6193478652495046,0.6193478652495046,0.6193478652495046
macro avg,0.32108057005203966,0.3904009385716271,0.34137016275014087,5551.0
weighted avg,0.6908898959809497,0.6193478652495046,0.6473876709028975,5551.0
