,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.40384615384615385,0.4375,0.42,48.0
Gram,0.5789473684210527,0.559322033898305,0.5689655172413793,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.041666666666666664,0.02912621359223301,0.03428571428571429,103.0
Maize,0.6747404844290658,0.6655290102389079,0.6701030927835051,293.0
Mustard,0.6052376333656644,0.6303030303030303,0.6175160811479465,990.0
No crop/Fallow,0.7419550698239222,0.7446678854357099,0.7433090024330901,1641.0
Potato,0.25,0.07317073170731707,0.11320754716981132,41.0
Rice,0.15492957746478872,0.08527131782945736,0.11,129.0
Sugarcane,0.43870967741935485,0.4171779141104294,0.4276729559748428,163.0
Wheat,0.7817845584835876,0.8325947808961103,0.8063900810681927,2031.0
accuracy,0.6973518284993695,0.6973518284993695,0.6973518284993695,0.6973518284993695
macro avg,0.35937055307078897,0.3442048398470385,0.3470346147772678,5551.0
weighted avg,0.6776827051939079,0.6973518284993695,0.6865487388778175,5551.0
