,precision,recall,f1-score,support
Bersem,0.16666666666666666,0.0625,0.09090909090909091,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.38461538461538464,0.5208333333333334,0.4424778761061947,48.0
Gram,0.5205479452054794,0.6440677966101694,0.5757575757575758,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.10026385224274406,0.36893203883495146,0.15767634854771784,103.0
Maize,0.6097560975609756,0.8532423208191127,0.7112375533428165,293.0
Mustard,0.6196721311475409,0.5727272727272728,0.5952755905511811,990.0
No crop/Fallow,0.8144578313253013,0.6179159049360147,0.7027027027027027,1641.0
Potato,0.2,0.07317073170731707,0.10714285714285714,41.0
Rice,0.13861386138613863,0.21705426356589147,0.1691842900302115,129.0
Sugarcane,0.3138888888888889,0.6932515337423313,0.4321223709369025,163.0
Wheat,0.8431477516059958,0.7754800590841949,0.8078994614003591,2031.0
accuracy,0.6578994775716087,0.6578994775716087,0.6578994775716087,0.6578994775716087
macro avg,0.3624331085111627,0.4153211734892761,0.3686450551867392,5551.0
weighted avg,0.7170789261073788,0.6578994775716087,0.6775809404452536,5551.0
