,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.7307692307692307,0.3958333333333333,0.5135135135135135,48.0
Gram,0.896551724137931,0.4406779661016949,0.5909090909090909,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.7078313253012049,0.8020477815699659,0.752,293.0
Mustard,0.6383682469680264,0.5848484848484848,0.6104375329467581,990.0
No crop/Fallow,0.8030987734021949,0.7580743449116393,0.7799373040752351,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.42857142857142855,0.023255813953488372,0.04411764705882353,129.0
Sugarcane,0.4883720930232558,0.38650306748466257,0.4315068493150685,163.0
Wheat,0.7142857142857143,0.9034958148695224,0.7978260869565217,2031.0
accuracy,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361
macro avg,0.4159883489583836,0.3303643543902147,0.3477113865211547,5551.0
weighted avg,0.6901175204338772,0.7213114754098361,0.6954548971599128,5551.0
