,precision,recall,f1-score,support
Bersem,0.15384615384615385,0.125,0.13793103448275862,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.3717948717948718,0.6041666666666666,0.4603174603174603,48.0
Gram,0.5714285714285714,0.6779661016949152,0.6201550387596899,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.1043956043956044,0.18446601941747573,0.13333333333333333,103.0
Maize,0.6774193548387096,0.78839590443686,0.7287066246056783,293.0
Mustard,0.6577480490523969,0.5959595959595959,0.6253312135665077,990.0
No crop/Fallow,0.8341121495327103,0.6526508226691042,0.7323076923076923,1641.0
Potato,0.0625,0.07317073170731707,0.06741573033707865,41.0
Rice,0.1506849315068493,0.17054263565891473,0.16,129.0
Sugarcane,0.3264094955489614,0.6748466257668712,0.44,163.0
Wheat,0.7975517890772128,0.8340718857705564,0.8154031287605294,2031.0
accuracy,0.6865429652314898,0.6865429652314898,0.6865429652314898,0.6865429652314898
macro avg,0.36214545930938785,0.41394130690371356,0.37853086588236373,5551.0
weighted avg,0.7166709583394346,0.6865429652314898,0.6953951144371829,5551.0
