,precision,recall,f1-score,support
Bersem,0.3333333333333333,0.0625,0.10526315789473684,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5833333333333334,0.2916666666666667,0.3888888888888889,48.0
Gram,0.8611111111111112,0.5254237288135594,0.6526315789473685,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.7129909365558912,0.8054607508532423,0.7564102564102564,293.0
Mustard,0.630019120458891,0.6656565656565656,0.6473477406679764,990.0
No crop/Fallow,0.7924411400247832,0.7794028031687995,0.7858678955453149,1641.0
Potato,0.4,0.04878048780487805,0.08695652173913043,41.0
Rice,0.35,0.05426356589147287,0.09395973154362416,129.0
Sugarcane,0.48507462686567165,0.3987730061349693,0.4377104377104377,163.0
Wheat,0.771551724137931,0.8813392417528311,0.8227993564697771,2031.0
accuracy,0.7357232931003422,0.7357232931003422,0.7357232931003422,0.7357232931003422
macro avg,0.4553734866016112,0.34717437051869116,0.3675258127551932,5551.0
weighted avg,0.707043557780216,0.7357232931003422,0.7150254264866855,5551.0
