,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.4642857142857143,0.5416666666666666,0.5,48.0
Gram,0.5394736842105263,0.6949152542372882,0.6074074074074074,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.13414634146341464,0.10679611650485436,0.11891891891891893,103.0
Maize,0.6473684210526316,0.8395904436860068,0.7310549777117384,293.0
Mustard,0.595108695652174,0.6636363636363637,0.6275071633237822,990.0
No crop/Fallow,0.8094594594594594,0.7300426569165143,0.7677026594040371,1641.0
Potato,0.25,0.04878048780487805,0.08163265306122448,41.0
Rice,0.1875,0.09302325581395349,0.12435233160621761,129.0
Sugarcane,0.3620689655172414,0.6441717791411042,0.46357615894039733,163.0
Wheat,0.8102589641434262,0.8010832102412605,0.8056449616241644,2031.0
accuracy,0.7070798054404612,0.7070798054404612,0.7070798054404612,0.7070798054404612
macro avg,0.3692054035218914,0.39720817189606844,0.37136901784599136,5551.0
weighted avg,0.7051309604425369,0.7070798054404612,0.7023118664108214,5551.0
