,precision,recall,f1-score,support
Bersem,0.1111111111111111,0.125,0.11764705882352941,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.18840579710144928,0.2708333333333333,0.2222222222222222,48.0
Gram,0.35714285714285715,0.423728813559322,0.3875968992248062,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.07106598984771574,0.13592233009708737,0.09333333333333334,103.0
Maize,0.5727848101265823,0.6177474402730375,0.5944170771756979,293.0
Mustard,0.4320524835988753,0.46565656565656566,0.4482255712202236,990.0
No crop/Fallow,0.6821952776005106,0.6514320536258379,0.6664588528678305,1641.0
Potato,0.0410958904109589,0.07317073170731707,0.05263157894736842,41.0
Rice,0.10071942446043165,0.10852713178294573,0.1044776119402985,129.0
Sugarcane,0.29523809523809524,0.3803680981595092,0.3324396782841823,163.0
Wheat,0.742792538157151,0.6469719350073855,0.6915789473684211,2031.0
accuracy,0.5689065033327328,0.5689065033327328,0.5689065033327328,0.5689065033327328
macro avg,0.2765080211381337,0.2999506487078724,0.2854637562621472,5551.0
weighted avg,0.5991111569122738,0.5689065033327328,0.5820603644415018,5551.0
