,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6,0.4375,0.5060240963855421,48.0
Gram,0.8571428571428571,0.3050847457627119,0.45,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.696165191740413,0.8054607508532423,0.7468354430379747,293.0
Mustard,0.6066134549600912,0.5373737373737374,0.5698982324584896,990.0
No crop/Fallow,0.8043478260869565,0.7440585009140768,0.7730294396961064,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.35294117647058826,0.046511627906976744,0.0821917808219178,129.0
Sugarcane,0.4036697247706422,0.26993865030674846,0.3235294117647059,163.0
Wheat,0.6947928544279741,0.9000492368291482,0.7842127842127842,2031.0
accuracy,0.7036569987389659,0.7036569987389659,0.7036569987389659,0.7036569987389659
macro avg,0.3858210065845787,0.31122901922666474,0.32582470679827086,5551.0
weighted avg,0.6712811740255974,0.7036569987389659,0.6770810125547985,5551.0
