,precision,recall,f1-score,support
Bersem,0.007113821138211382,0.4375,0.014,16.0
Coriander,0.004016064257028112,0.35714285714285715,0.007942811755361398,14.0
Garlic,0.1111111111111111,0.041666666666666664,0.06060606060606061,48.0
Gram,0.11560693641618497,0.3389830508474576,0.1724137931034483,59.0
Green pea,0.004228329809725159,0.08695652173913043,0.008064516129032258,23.0
Lentil,0.045714285714285714,0.1553398058252427,0.0706401766004415,103.0
Maize,0.7654320987654321,0.21160409556313994,0.3315508021390374,293.0
Mustard,0.7786259541984732,0.10303030303030303,0.18198037466547726,990.0
No crop/Fallow,0.8741721854304636,0.40219378427787933,0.5509181969949917,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.09503239740820735,0.34108527131782945,0.14864864864864866,129.0
Sugarcane,0.16928657799274485,0.8588957055214724,0.2828282828282828,163.0
Wheat,0.9411764705882353,0.023633677991137372,0.04610951008645533,2031.0
accuracy,0.1996036750135111,0.1996036750135111,0.1996036750135111,0.1996036750135111
macro avg,0.3008858640638541,0.2583101338402397,0.14428485950440287,5551.0
weighted avg,0.7923149289791436,0.1996036750135111,0.24521076276422282,5551.0
