,precision,recall,f1-score,support
Bersem,0.037037037037037035,0.0625,0.046511627906976744,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.3793103448275862,0.22916666666666666,0.2857142857142857,48.0
Gram,0.64,0.2711864406779661,0.38095238095238093,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.686084142394822,0.7235494880546075,0.7043189368770764,293.0
Mustard,0.6202672605790646,0.5626262626262626,0.590042372881356,990.0
No crop/Fallow,0.7591687041564792,0.7568555758683729,0.7580103753433018,1641.0
Potato,0.23076923076923078,0.14634146341463414,0.1791044776119403,41.0
Rice,0.25,0.046511627906976744,0.0784313725490196,129.0
Sugarcane,0.4358974358974359,0.3128834355828221,0.36428571428571427,163.0
Wheat,0.7285891601158461,0.8670605612998523,0.79181654676259,2031.0
accuracy,0.6959106467303189,0.6959106467303189,0.6959106467303189,0.6959106467303189
macro avg,0.3667017935213463,0.30605242477678163,0.32147600699112633,5551.0
weighted avg,0.6683426371947685,0.6959106467303189,0.6766989721450506,5551.0
