,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.4857142857142857,0.3541666666666667,0.40963855421686746,48.0
Gram,0.5918367346938775,0.4915254237288136,0.5370370370370371,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.047619047619047616,0.009708737864077669,0.016129032258064516,103.0
Maize,0.6722222222222223,0.825938566552901,0.7411944869831547,293.0
Mustard,0.5982824427480916,0.6333333333333333,0.6153091265947007,990.0
No crop/Fallow,0.7814241486068112,0.7690432663010359,0.7751842751842751,1641.0
Potato,0.2222222222222222,0.04878048780487805,0.08,41.0
Rice,0.3448275862068966,0.07751937984496124,0.12658227848101267,129.0
Sugarcane,0.42771084337349397,0.43558282208588955,0.4316109422492401,163.0
Wheat,0.7762742444745151,0.8473658296405712,0.8102636534839924,2031.0
accuracy,0.7173482255449468,0.7173482255449468,0.7173482255449468,0.7173482255449468
macro avg,0.380625675221651,0.34561265490947146,0.3494576451144881,5551.0
weighted avg,0.6908014591949029,0.7173482255449468,0.7002377444494784,5551.0
