,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5111111111111111,0.4791666666666667,0.4946236559139785,48.0
Gram,0.71875,0.3898305084745763,0.5054945054945055,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.05555555555555555,0.009708737864077669,0.01652892561983471,103.0
Maize,0.6705539358600583,0.7849829351535836,0.7232704402515723,293.0
Mustard,0.5570731707317074,0.5767676767676768,0.5667493796526054,990.0
No crop/Fallow,0.8235294117647058,0.6995734308348568,0.7565074135090609,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.21875,0.05426356589147287,0.08695652173913043,129.0
Sugarcane,0.3609022556390977,0.294478527607362,0.32432432432432434,163.0
Wheat,0.7054631828978623,0.8774002954209749,0.7820934825543121,2031.0
accuracy,0.690506215096379,0.690506215096379,0.690506215096379,0.690506215096379
macro avg,0.3555145095046229,0.3204747957447113,0.3274268191584095,5551.0
weighted avg,0.6650855439790229,0.690506215096379,0.6705479193482381,5551.0
