,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.5142857142857142,0.375,0.43373493975903615,48.0
Gram,0.6756756756756757,0.423728813559322,0.5208333333333334,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.09090909090909091,0.019417475728155338,0.032,103.0
Maize,0.6819484240687679,0.8122866894197952,0.7414330218068536,293.0
Mustard,0.6320474777448071,0.6454545454545455,0.638680659670165,990.0
No crop/Fallow,0.7875231624459543,0.7769652650822669,0.7822085889570553,1641.0
Potato,0.42857142857142855,0.07317073170731707,0.125,41.0
Rice,0.34782608695652173,0.06201550387596899,0.10526315789473684,129.0
Sugarcane,0.48026315789473684,0.44785276073619634,0.4634920634920635,163.0
Wheat,0.7593722755013078,0.8577055637616937,0.8055491329479769,2031.0
accuracy,0.7247342821113313,0.7247342821113313,0.7247342821113313,0.7247342821113313
macro avg,0.415263268773385,0.34566133456348164,0.3575534536816323,5551.0
weighted avg,0.6980339752074135,0.7247342821113313,0.7058738802830964,5551.0
