,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.20930232558139536,0.375,0.26865671641791045,48.0
Gram,0.3669724770642202,0.6779661016949152,0.47619047619047616,59.0
Green pea,0.013157894736842105,0.043478260869565216,0.020202020202020204,23.0
Lentil,0.09195402298850575,0.3106796116504854,0.1419068736141907,103.0
Maize,0.613941018766756,0.7815699658703071,0.6876876876876877,293.0
Mustard,0.6515544041450777,0.5080808080808081,0.5709421112372304,990.0
No crop/Fallow,0.8308766485647789,0.6526508226691042,0.7310580204778157,1641.0
Potato,0.04395604395604396,0.0975609756097561,0.06060606060606061,41.0
Rice,0.21052631578947367,0.24806201550387597,0.2277580071174377,129.0
Sugarcane,0.2905027932960894,0.6380368098159509,0.39923224568138194,163.0
Wheat,0.8352617079889807,0.7464303298867553,0.7883515340613625,2031.0
accuracy,0.6395244100162133,0.6395244100162133,0.6395244100162133,0.6395244100162133
macro avg,0.31984658868293564,0.39073197705011725,0.3363532117918134,5551.0
weighted avg,0.7210579209854928,0.6395244100162133,0.67024782242467,5551.0
