,precision,recall,f1-score,support
Bersem,0.05555555555555555,0.1875,0.08571428571428572,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.21666666666666667,0.5416666666666666,0.30952380952380953,48.0
Gram,0.2867132867132867,0.6949152542372882,0.40594059405940597,59.0
Green pea,0.008403361344537815,0.043478260869565216,0.014084507042253521,23.0
Lentil,0.07872340425531915,0.3592233009708738,0.12914485165794065,103.0
Maize,0.6135135135135135,0.7747440273037542,0.6847662141779789,293.0
Mustard,0.6495956873315364,0.4868686868686869,0.5565819861431871,990.0
No crop/Fallow,0.8062622309197651,0.502132845825716,0.6188509200150206,1641.0
Potato,0.041666666666666664,0.12195121951219512,0.062111801242236024,41.0
Rice,0.15594059405940594,0.4883720930232558,0.23639774859287055,129.0
Sugarcane,0.2697201017811705,0.6503067484662577,0.381294964028777,163.0
Wheat,0.8567708333333334,0.6479566715903495,0.7378749649565461,2031.0
accuracy,0.564042514862187,0.564042514862187,0.564042514862187,0.564042514862187
macro avg,0.3107332232415967,0.4230089057949699,0.3247912805503317,5551.0
weighted avg,0.7184890795655805,0.564042514862187,0.6151700563905992,5551.0
