,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.7037037037037037,0.3958333333333333,0.5066666666666667,48.0
Gram,0.7586206896551724,0.3728813559322034,0.5,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.15789473684210525,0.02912621359223301,0.04918032786885246,103.0
Maize,0.6834319526627219,0.78839590443686,0.7321711568938193,293.0
Mustard,0.5870153291253382,0.6575757575757576,0.6202953787517865,990.0
No crop/Fallow,0.7723378212974297,0.7690432663010359,0.7706870229007634,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.27586206896551724,0.06201550387596899,0.10126582278481013,129.0
Sugarcane,0.4647887323943662,0.4049079754601227,0.43278688524590164,163.0
Wheat,0.7701304543409807,0.8429345150172329,0.8048895157498824,2031.0
accuracy,0.7159070437758962,0.7159070437758962,0.7159070437758962,0.7159070437758962
macro avg,0.39798349915287196,0.33251644811728825,0.3475340597586526,5551.0
weighted avg,0.6879982673606341,0.7159070437758962,0.6972689087024204,5551.0
