,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.34782608695652173,0.5,0.41025641025641024,48.0
Gram,0.5131578947368421,0.6610169491525424,0.5777777777777777,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.08673469387755102,0.3300970873786408,0.13737373737373737,103.0
Maize,0.6140776699029126,0.863481228668942,0.7177304964539007,293.0
Mustard,0.6123301985370951,0.591919191919192,0.6019517205957884,990.0
No crop/Fallow,0.8393305439330544,0.61121267519805,0.7073342736248237,1641.0
Potato,0.09523809523809523,0.04878048780487805,0.06451612903225806,41.0
Rice,0.15648854961832062,0.3178294573643411,0.20971867007672634,129.0
Sugarcane,0.30337078651685395,0.6625766871165644,0.4161849710982659,163.0
Wheat,0.853072625698324,0.7518463810930576,0.7992672075372939,2031.0
accuracy,0.6515943073320123,0.6515943073320123,0.6515943073320123,0.6515943073320123
macro avg,0.34012516500119777,0.41067385736124673,0.3570854918328447,5551.0
weighted avg,0.7251865328159364,0.6515943073320123,0.6765883970324865,5551.0
