,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6,0.375,0.46153846153846156,48.0
Gram,0.8421052631578947,0.2711864406779661,0.41025641025641024,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.6735905044510386,0.7747440273037542,0.7206349206349206,293.0
Mustard,0.623463687150838,0.5636363636363636,0.5920424403183023,990.0
No crop/Fallow,0.7961538461538461,0.7568555758683729,0.7760074976569822,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.5,0.03875968992248062,0.07194244604316546,129.0
Sugarcane,0.40336134453781514,0.294478527607362,0.3404255319148936,163.0
Wheat,0.7046511627906977,0.8951255539143279,0.7885491216655823,2031.0
accuracy,0.7083408394883804,0.7083408394883804,0.7083408394883804,0.7083408394883804
macro avg,0.3956404467878562,0.30536816761004826,0.32010744846374756,5551.0
weighted avg,0.6775280401613821,0.7083408394883804,0.6815652187028872,5551.0
