,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.36363636363636365,0.5833333333333334,0.448,48.0
Gram,0.45454545454545453,0.6779661016949152,0.54421768707483,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.07291666666666667,0.06796116504854369,0.07035175879396985,103.0
Maize,0.7048192771084337,0.7986348122866894,0.7488,293.0
Mustard,0.6430868167202572,0.6060606060606061,0.62402496099844,990.0
No crop/Fallow,0.8426132145508537,0.6916514320536259,0.7597054886211513,1641.0
Potato,0.03389830508474576,0.04878048780487805,0.04,41.0
Rice,0.24444444444444444,0.17054263565891473,0.2009132420091324,129.0
Sugarcane,0.3664383561643836,0.656441717791411,0.4703296703296703,163.0
Wheat,0.7753623188405797,0.8429345150172329,0.8077376739797122,2031.0
accuracy,0.7002341920374707,0.7002341920374707,0.7002341920374707,0.7002341920374707
macro avg,0.3462893244432449,0.39571590821155006,0.3626215755236082,5551.0
weighted avg,0.7106994976085372,0.7002341920374707,0.7006765723733865,5551.0
