,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6086956521739131,0.2916666666666667,0.39436619718309857,48.0
Gram,0.7333333333333333,0.3728813559322034,0.4943820224719101,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.7002967359050445,0.8054607508532423,0.7492063492063492,293.0
Mustard,0.6216216216216216,0.6272727272727273,0.6244343891402715,990.0
No crop/Fallow,0.7807971014492754,0.7879341864716636,0.7843494085532302,1641.0
Potato,0.6666666666666666,0.04878048780487805,0.09090909090909091,41.0
Rice,0.5625,0.06976744186046512,0.12413793103448276,129.0
Sugarcane,0.4824561403508772,0.3374233128834356,0.3971119133574007,163.0
Wheat,0.7480980557903635,0.8714918759231906,0.8050943825335456,2031.0
accuracy,0.7245541343902,0.7245541343902,0.7245541343902,0.7245541343902
macro avg,0.45418963902239196,0.32405221582065175,0.3433839757222599,5551.0
weighted avg,0.6975838202117842,0.7245541343902,0.7012322104893567,5551.0
