,missing_fraction
S1A_VV,0.336447315370032
S1A_VVminusVH,0.336447315370032
S1A_VH,0.336447315370032
B3,0.1473951497370701
B2,0.1473951497370701
B6,0.1473951497370701
B5,0.1473951497370701
B4,0.1473951497370701
B7,0.1473951497370701
B12,0.1473951497370701
B8,0.1473951497370701
B8A,0.1473951497370701
B11,0.1473951497370701
GNDVI,0.1473951497370701
NDRE,0.1473951497370701
NDVI,0.1473951497370701
LSWI,0.1473951497370701
EVI,0.1473951497370701
S1D_VV,0.13426152302030522
S1D_VH,0.13426152302030522
S1D_VVminusVH,0.13426152302030522
