field_id,sensor,acquisition_date,das,cloud_free,phenology_stage,notes,_source_batch
1144,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6048,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6216,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
1616,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
2544,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5512,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6512,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6656,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6672,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
6752,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
1104,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
1128,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
1592,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
2320,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
3392,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5312,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5328,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5352,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5376,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5384,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5424,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5504,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
5624,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate,0
