field_id,sensor,acquisition_date,das,cloud_free,phenology_stage,notes
766,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5270,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5302,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5318,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5358,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5462,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5822,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
7006,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
7278,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1494,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3510,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5286,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5334,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5366,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5486,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5534,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5646,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5670,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5678,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5790,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5886,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5934,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5942,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5966,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6054,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6062,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
